[2023-05-30 07:43:27] Stage 1: Training with all clients
[2023-05-30 07:44:59] Round: 1, Test Loss: -15779.790348052979, Accuracy: 0.8539
[2023-05-30 08:00:55] Round: 4, Test Loss: -12764.557842254639, Accuracy: 0.8461
[2023-05-30 08:01:08] Round: 5, Test Loss: -15331.920791625977, Accuracy: 0.8591
[2023-05-30 08:01:21] Round: 6, Test Loss: -16988.88536453247, Accuracy: 0.8652
[2023-05-30 08:01:34] Round: 7, Test Loss: -18207.403873443604, Accuracy: 0.8687
[2023-05-30 08:01:47] Round: 8, Test Loss: -19094.037525177002, Accuracy: 0.8645
[2023-05-30 08:02:00] Round: 9, Test Loss: -19140.002311706543, Accuracy: 0.8692
[2023-05-30 08:02:13] Round: 10, Test Loss: -20537.453296661377, Accuracy: 0.8798
[2023-05-30 08:02:13] Epoch 5, num_clients = 5
[2023-05-30 08:02:35] Round: 1, Test Loss: -14196.614894866943, Accuracy: 0.863
[2023-05-30 08:02:55] Round: 2, Test Loss: -19433.58882522583, Accuracy: 0.8731
[2023-05-30 08:03:16] Round: 3, Test Loss: -20899.751903533936, Accuracy: 0.8947
[2023-05-30 08:03:36] Round: 4, Test Loss: -22437.250038146973, Accuracy: 0.9099
[2023-05-30 08:03:57] Round: 5, Test Loss: -23800.845428466797, Accuracy: 0.9166
[2023-05-30 08:04:17] Round: 6, Test Loss: -24358.726837158203, Accuracy: 0.9217
[2023-05-30 08:04:40] Round: 7, Test Loss: -24527.213485717773, Accuracy: 0.9298
[2023-05-30 08:05:01] Round: 8, Test Loss: -25631.054050445557, Accuracy: 0.9396
[2023-05-30 08:05:21] Round: 9, Test Loss: -26049.91396713257, Accuracy: 0.9425
[2023-05-30 08:05:43] Round: 10, Test Loss: -25625.276035308838, Accuracy: 0.945
[2023-05-30 08:05:43] Epoch 5, num_clients = 10
[2023-05-30 08:06:27] Round: 1, Test Loss: -14591.219232559204, Accuracy: 0.8416
[2023-05-30 08:07:06] Round: 2, Test Loss: -19542.171504974365, Accuracy: 0.8576
[2023-05-30 08:07:47] Round: 3, Test Loss: -21661.638355255127, Accuracy: 0.88
[2023-05-30 08:08:26] Round: 4, Test Loss: -22796.895847320557, Accuracy: 0.892
[2023-05-30 08:09:06] Round: 5, Test Loss: -23535.550651550293, Accuracy: 0.9082
[2023-05-30 08:09:46] Round: 6, Test Loss: -23958.899166107178, Accuracy: 0.9184
[2023-05-30 08:10:28] Round: 7, Test Loss: -24145.02016067505, Accuracy: 0.9248
[2023-05-30 08:11:10] Round: 8, Test Loss: -18575.872665405273, Accuracy: 0.9355
[2023-05-30 08:11:51] Round: 9, Test Loss: -22860.410484313965, Accuracy: 0.9372
[2023-05-30 08:12:33] Round: 10, Test Loss: -23635.93365097046, Accuracy: 0.9411
[2023-05-30 08:12:33] Epoch 5, num_clients = 15
[2023-05-30 08:13:33] Round: 1, Test Loss: -14331.421731948853, Accuracy: 0.8512
[2023-05-30 08:14:35] Round: 2, Test Loss: -20058.951637268066, Accuracy: 0.8764
[2023-05-30 08:15:40] Round: 3, Test Loss: -22115.670036315918, Accuracy: 0.896
[2023-05-30 08:16:44] Round: 4, Test Loss: -23540.181968688965, Accuracy: 0.9073
[2023-05-30 08:17:46] Round: 5, Test Loss: -24395.399017333984, Accuracy: 0.9188
[2023-05-30 08:18:49] Round: 6, Test Loss: -24693.17218017578, Accuracy: 0.9287
[2023-05-30 08:19:51] Round: 7, Test Loss: -25206.8370513916, Accuracy: 0.9372
[2023-05-30 08:20:54] Round: 8, Test Loss: -25577.117362976074, Accuracy: 0.9428
[2023-05-30 08:21:57] Round: 9, Test Loss: -26447.814514160156, Accuracy: 0.9467
[2023-05-30 08:22:59] Round: 10, Test Loss: -26400.035388946533, Accuracy: 0.9495
[2023-05-30 08:22:59] Epoch 10, num_clients = 5
[2023-05-30 08:23:43] Round: 1, Test Loss: -19082.440574645996, Accuracy: 0.8661
[2023-05-30 08:24:25] Round: 2, Test Loss: -22246.57173538208, Accuracy: 0.8942
[2023-05-30 08:25:07] Round: 3, Test Loss: -23794.214199066162, Accuracy: 0.9142
[2023-05-30 08:25:49] Round: 4, Test Loss: -24927.201972961426, Accuracy: 0.9246
[2023-05-30 08:26:30] Round: 5, Test Loss: -25989.53218460083, Accuracy: 0.937
[2023-05-30 08:27:12] Round: 6, Test Loss: -27098.908462524414, Accuracy: 0.9399
[2023-05-30 08:27:55] Round: 7, Test Loss: -27302.63042449951, Accuracy: 0.9499
[2023-05-30 08:28:38] Round: 8, Test Loss: -28608.06219100952, Accuracy: 0.9509
[2023-05-30 08:29:21] Round: 9, Test Loss: -29296.969146728516, Accuracy: 0.9523
[2023-05-30 08:30:04] Round: 10, Test Loss: -30205.116333007812, Accuracy: 0.9508
[2023-05-30 08:30:04] Epoch 10, num_clients = 10
[2023-05-30 08:31:30] Round: 1, Test Loss: -16621.228847503662, Accuracy: 0.9456
[2023-05-30 08:32:55] Round: 2, Test Loss: -9225.64842414856, Accuracy: 0.9015
[2023-05-30 08:34:21] Round: 3, Test Loss: -21192.56792831421, Accuracy: 0.8602
[2023-05-30 08:35:47] Round: 4, Test Loss: -21356.951934814453, Accuracy: 0.865
[2023-05-30 08:37:12] Round: 5, Test Loss: -24985.11249923706, Accuracy: 0.8908
[2023-05-30 08:38:37] Round: 6, Test Loss: -25077.8279876709, Accuracy: 0.8832
[2023-05-30 08:40:02] Round: 7, Test Loss: -26025.4790725708, Accuracy: 0.9193
[2023-05-30 08:41:27] Round: 8, Test Loss: -26311.669132232666, Accuracy: 0.9121
[2023-05-30 08:42:51] Round: 9, Test Loss: -26434.715770721436, Accuracy: 0.9235
[2023-05-30 08:44:15] Round: 10, Test Loss: -27055.37847137451, Accuracy: 0.9279
[2023-05-30 08:44:15] Epoch 10, num_clients = 15
[2023-05-30 08:46:22] Round: 1, Test Loss: -21948.07105255127, Accuracy: 0.8813
[2023-05-30 08:48:26] Round: 2, Test Loss: -25298.74635696411, Accuracy: 0.902
[2023-05-30 08:50:33] Round: 3, Test Loss: -26725.80513381958, Accuracy: 0.9196
[2023-05-30 08:52:36] Round: 4, Test Loss: -27953.97066116333, Accuracy: 0.9365
[2023-05-30 08:54:39] Round: 5, Test Loss: -28804.67263031006, Accuracy: 0.9449
[2023-05-30 08:56:43] Round: 6, Test Loss: -29532.658821105957, Accuracy: 0.9512
[2023-05-30 08:58:47] Round: 7, Test Loss: -30488.111358642578, Accuracy: 0.9538
[2023-05-30 09:00:51] Round: 8, Test Loss: -31278.155715942383, Accuracy: 0.9564
[2023-05-30 09:02:55] Round: 9, Test Loss: -31881.538177490234, Accuracy: 0.9558
[2023-05-30 09:04:59] Round: 10, Test Loss: -7941.2438106536865, Accuracy: 0.795
[2023-05-30 09:04:59] Epoch 15, num_clients = 5
[2023-05-30 09:06:03] Round: 1, Test Loss: -9411.108476638794, Accuracy: 0.7881
[2023-05-30 09:07:06] Round: 2, Test Loss: -24446.0665473938, Accuracy: 0.8896
[2023-05-30 09:08:09] Round: 3, Test Loss: -27122.09617996216, Accuracy: 0.9128
[2023-05-30 09:09:12] Round: 4, Test Loss: -28207.68063735962, Accuracy: 0.9316
[2023-05-30 09:10:14] Round: 5, Test Loss: -30344.07703781128, Accuracy: 0.9394
[2023-05-30 09:11:17] Round: 6, Test Loss: -31200.67269897461, Accuracy: 0.9462
[2023-05-30 09:12:20] Round: 7, Test Loss: -31480.507858276367, Accuracy: 0.9442
[2023-05-30 09:13:23] Round: 8, Test Loss: -32246.447132110596, Accuracy: 0.9537
[2023-05-30 09:14:27] Round: 9, Test Loss: -33789.24558258057, Accuracy: 0.9517
[2023-05-30 09:15:31] Round: 10, Test Loss: -34349.15217590332, Accuracy: 0.9489
[2023-05-30 09:15:31] Epoch 15, num_clients = 10
[2023-05-30 09:17:38] Round: 1, Test Loss: -22794.846523284912, Accuracy: 0.8866
[2023-05-30 09:19:42] Round: 2, Test Loss: -11798.103437423706, Accuracy: 0.8694
[2023-05-30 09:21:48] Round: 3, Test Loss: -23030.221866607666, Accuracy: 0.899
[2023-05-30 09:23:54] Round: 4, Test Loss: -25605.251823425293, Accuracy: 0.9256
[2023-05-30 09:25:59] Round: 5, Test Loss: -26911.274028778076, Accuracy: 0.9427
[2023-05-30 09:28:04] Round: 6, Test Loss: -29086.506958007812, Accuracy: 0.9464
[2023-05-30 09:30:09] Round: 7, Test Loss: -30594.455139160156, Accuracy: 0.9462
[2023-05-30 09:32:13] Round: 8, Test Loss: -31028.56812286377, Accuracy: 0.9516
[2023-05-30 09:34:16] Round: 9, Test Loss: -32138.65919494629, Accuracy: 0.9534
[2023-05-30 09:36:20] Round: 10, Test Loss: -33091.03887939453, Accuracy: 0.9535
[2023-05-30 09:36:21] Epoch 15, num_clients = 15
[2023-05-30 09:39:30] Round: 1, Test Loss: -23778.082500457764, Accuracy: 0.8716
[2023-05-30 09:42:38] Round: 2, Test Loss: -27021.12197494507, Accuracy: 0.9012
[2023-05-30 09:45:44] Round: 3, Test Loss: -27872.043968200684, Accuracy: 0.9258
[2023-05-30 09:48:47] Round: 4, Test Loss: -22623.39902114868, Accuracy: 0.8985
[2023-05-30 09:51:54] Round: 5, Test Loss: -24780.586456298828, Accuracy: 0.9209
[2023-05-30 09:55:00] Round: 6, Test Loss: -26898.405181884766, Accuracy: 0.9355
[2023-05-30 09:58:05] Round: 7, Test Loss: -28035.157108306885, Accuracy: 0.9466
[2023-05-30 10:01:10] Round: 8, Test Loss: -29479.516452789307, Accuracy: 0.9534
[2023-05-30 10:04:16] Round: 9, Test Loss: -30843.966243743896, Accuracy: 0.9576
[2023-05-30 10:07:27] Round: 10, Test Loss: -32639.764919281006, Accuracy: 0.9607
[2023-05-30 10:07:27] Epoch 20, num_clients = 5
[2023-05-30 10:08:54] Round: 1, Test Loss: -24093.016048431396, Accuracy: 0.8897
[2023-05-30 10:10:19] Round: 2, Test Loss: -28027.309425354004, Accuracy: 0.921
[2023-05-30 10:11:43] Round: 3, Test Loss: -29819.020721435547, Accuracy: 0.9316
[2023-05-30 10:13:07] Round: 4, Test Loss: -31906.361598968506, Accuracy: 0.9396
[2023-05-30 10:14:31] Round: 5, Test Loss: -33194.84299468994, Accuracy: 0.9515
[2023-05-30 10:15:55] Round: 6, Test Loss: -34610.36986541748, Accuracy: 0.9513
[2023-05-30 10:17:20] Round: 7, Test Loss: -34421.345306396484, Accuracy: 0.9564
[2023-05-30 10:18:44] Round: 8, Test Loss: -35789.98343658447, Accuracy: 0.9552
[2023-05-30 10:20:07] Round: 9, Test Loss: -35185.44623565674, Accuracy: 0.9552
[2023-05-30 10:21:28] Round: 10, Test Loss: -34950.41569519043, Accuracy: 0.9576
[2023-05-30 10:21:28] Epoch 20, num_clients = 10
[2023-05-30 10:24:13] Round: 1, Test Loss: -22979.174674987793, Accuracy: 0.8925
[2023-05-30 10:26:56] Round: 2, Test Loss: -26859.077926635742, Accuracy: 0.9269
[2023-05-30 10:29:32] Round: 3, Test Loss: -27979.09090423584, Accuracy: 0.9422
[2023-05-30 10:32:09] Round: 4, Test Loss: -30929.6358795166, Accuracy: 0.9473
[2023-05-30 10:34:49] Round: 5, Test Loss: -32906.84257507324, Accuracy: 0.955
[2023-05-30 10:37:29] Round: 6, Test Loss: -35175.74182128906, Accuracy: 0.9554
[2023-05-30 10:40:05] Round: 7, Test Loss: -36747.80714416504, Accuracy: 0.9562
[2023-05-30 10:42:45] Round: 8, Test Loss: -37918.83208465576, Accuracy: 0.9543
[2023-05-30 10:45:23] Round: 9, Test Loss: -6920.454414367676, Accuracy: 0.5671
[2023-05-30 10:48:00] Round: 10, Test Loss: -26098.677642822266, Accuracy: 0.891
[2023-05-30 10:48:00] Epoch 20, num_clients = 15
[2023-05-30 10:51:57] Round: 1, Test Loss: -24665.554321289062, Accuracy: 0.9153
[2023-05-30 10:55:52] Round: 2, Test Loss: -29634.85028076172, Accuracy: 0.9458
[2023-05-30 10:59:50] Round: 3, Test Loss: -32327.30414199829, Accuracy: 0.9543
[2023-05-30 11:03:47] Round: 4, Test Loss: -34329.0715713501, Accuracy: 0.9582
[2023-05-30 11:07:43] Round: 5, Test Loss: -36153.0040435791, Accuracy: 0.9609
[2023-05-30 11:11:39] Round: 6, Test Loss: -37620.2590713501, Accuracy: 0.9615
[2023-05-30 11:15:34] Round: 7, Test Loss: -39401.96389007568, Accuracy: 0.9639
[2023-05-30 11:19:28] Round: 8, Test Loss: -10789.030158996582, Accuracy: 0.8376
[2023-05-30 11:23:17] Round: 9, Test Loss: -26949.832984924316, Accuracy: 0.9005
[2023-05-30 11:27:01] Round: 10, Test Loss: -29644.12119293213, Accuracy: 0.9225
[2023-05-30 11:27:01] Epoch 25, num_clients = 5
[2023-05-30 11:28:41] Round: 1, Test Loss: -24520.743446350098, Accuracy: 0.8745
[2023-05-30 11:30:21] Round: 2, Test Loss: -28617.441402435303, Accuracy: 0.9118
[2023-05-30 11:32:01] Round: 3, Test Loss: -30974.612823486328, Accuracy: 0.9305
[2023-05-30 11:33:41] Round: 4, Test Loss: -33110.24002075195, Accuracy: 0.9436
[2023-05-30 11:35:21] Round: 5, Test Loss: -34521.917976379395, Accuracy: 0.9547
[2023-05-30 11:36:59] Round: 6, Test Loss: -35972.62674713135, Accuracy: 0.9545
[2023-05-30 11:38:38] Round: 7, Test Loss: -35639.57544708252, Accuracy: 0.9563
[2023-05-30 11:40:16] Round: 8, Test Loss: -36746.09290313721, Accuracy: 0.9569
[2023-05-30 11:41:55] Round: 9, Test Loss: -38397.22157287598, Accuracy: 0.9589
[2023-05-30 11:43:33] Round: 10, Test Loss: -39693.40451049805, Accuracy: 0.9608
[2023-05-30 11:43:33] Epoch 25, num_clients = 10
[2023-05-30 11:46:51] Round: 1, Test Loss: -26166.96076965332, Accuracy: 0.8887
[2023-05-30 11:50:06] Round: 2, Test Loss: -30776.427898406982, Accuracy: 0.9225
[2023-05-30 11:53:22] Round: 3, Test Loss: -32998.31396484375, Accuracy: 0.9381
[2023-05-30 11:56:38] Round: 4, Test Loss: -34799.58964538574, Accuracy: 0.949
[2023-05-30 11:59:46] Round: 5, Test Loss: -35776.91227722168, Accuracy: 0.9528
[2023-05-30 12:02:55] Round: 6, Test Loss: -36963.016204833984, Accuracy: 0.9557
[2023-05-30 12:06:11] Round: 7, Test Loss: -38442.868255615234, Accuracy: 0.9592
[2023-05-30 12:09:11] Round: 8, Test Loss: -39780.35967254639, Accuracy: 0.9587
[2023-05-30 12:12:15] Round: 9, Test Loss: -39622.17367553711, Accuracy: 0.9613
[2023-05-30 12:15:25] Round: 10, Test Loss: -40596.08800506592, Accuracy: 0.9586
[2023-05-30 12:15:25] Epoch 25, num_clients = 15
[2023-05-30 12:20:12] Round: 1, Test Loss: -26226.87149810791, Accuracy: 0.8906
[2023-05-30 12:24:58] Round: 2, Test Loss: -31015.482608795166, Accuracy: 0.927
[2023-05-30 12:29:44] Round: 3, Test Loss: -33549.3663482666, Accuracy: 0.9401
[2023-05-30 12:35:05] Round: 4, Test Loss: -34977.45014953613, Accuracy: 0.9495
[2023-05-30 12:40:25] Round: 5, Test Loss: -36713.722160339355, Accuracy: 0.9524
[2023-05-30 12:45:10] Round: 6, Test Loss: -38255.733978271484, Accuracy: 0.9552
[2023-05-30 12:49:58] Round: 7, Test Loss: -39390.95307159424, Accuracy: 0.9577
[2023-05-30 12:54:50] Round: 8, Test Loss: -40600.70399475098, Accuracy: 0.9582
[2023-05-30 12:59:40] Round: 9, Test Loss: -41638.62741088867, Accuracy: 0.9568
[2023-05-30 13:04:28] Round: 10, Test Loss: -41576.996017456055, Accuracy: 0.9584
