[2023-05-30 15:35:10] Stage 1: Training with all clients
[2023-05-30 15:36:44] Round: 1, Test Loss: -14276.117328643799, Accuracy: 0.8425
[2023-05-30 16:19:00] Round: 5, Test Loss: -26673.369255065918, Accuracy: 0.9296
[2023-05-30 16:19:43] Round: 6, Test Loss: -27709.997638702393, Accuracy: 0.9355
[2023-05-30 16:20:24] Round: 7, Test Loss: -28710.479572296143, Accuracy: 0.9413
[2023-05-30 16:21:06] Round: 8, Test Loss: -29679.508178710938, Accuracy: 0.9433
[2023-05-30 16:21:48] Round: 9, Test Loss: -30627.43252182007, Accuracy: 0.9469
[2023-05-30 16:22:31] Round: 10, Test Loss: -31554.759315490723, Accuracy: 0.9475
[2023-05-30 16:22:31] Epoch 10, num_clients = 10
[2023-05-30 16:23:57] Round: 1, Test Loss: -18117.949588775635, Accuracy: 0.883
[2023-05-30 16:25:21] Round: 2, Test Loss: -22267.212574005127, Accuracy: 0.8949
[2023-05-30 16:26:45] Round: 3, Test Loss: -23875.81181716919, Accuracy: 0.9138
[2023-05-30 16:28:10] Round: 4, Test Loss: -24856.940994262695, Accuracy: 0.9255
[2023-05-30 16:29:35] Round: 5, Test Loss: -25627.98180770874, Accuracy: 0.9364
[2023-05-30 16:30:59] Round: 6, Test Loss: -26386.624103546143, Accuracy: 0.9433
[2023-05-30 16:32:24] Round: 7, Test Loss: -27077.85178375244, Accuracy: 0.9463
[2023-05-30 16:33:49] Round: 8, Test Loss: -27773.585285186768, Accuracy: 0.9496
[2023-05-30 16:35:13] Round: 9, Test Loss: -28487.21786880493, Accuracy: 0.9512
[2023-05-30 16:36:38] Round: 10, Test Loss: -29231.632640838623, Accuracy: 0.9522
[2023-05-30 16:36:38] Epoch 10, num_clients = 15
[2023-05-30 16:38:44] Round: 1, Test Loss: -21016.95233154297, Accuracy: 0.8817
[2023-05-30 16:40:47] Round: 2, Test Loss: -24732.680770874023, Accuracy: 0.8997
[2023-05-30 16:42:49] Round: 3, Test Loss: -26154.37253189087, Accuracy: 0.9146
[2023-05-30 16:44:50] Round: 4, Test Loss: -27059.653091430664, Accuracy: 0.9325
[2023-05-30 16:46:51] Round: 5, Test Loss: -27774.012718200684, Accuracy: 0.9404
[2023-05-30 16:48:51] Round: 6, Test Loss: -28456.56519317627, Accuracy: 0.9459
[2023-05-30 16:50:52] Round: 7, Test Loss: -29151.10403060913, Accuracy: 0.9502
[2023-05-30 16:52:51] Round: 8, Test Loss: -29865.647079467773, Accuracy: 0.9524
[2023-05-30 16:54:51] Round: 9, Test Loss: -30561.680366516113, Accuracy: 0.9548
[2023-05-30 16:56:54] Round: 10, Test Loss: -31213.54141998291, Accuracy: 0.9573
[2023-05-30 16:56:54] Epoch 15, num_clients = 5
[2023-05-30 16:57:58] Round: 1, Test Loss: -22635.07183074951, Accuracy: 0.8664
[2023-05-30 16:59:00] Round: 2, Test Loss: -26302.166667938232, Accuracy: 0.883
[2023-05-30 17:00:03] Round: 3, Test Loss: -28363.845275878906, Accuracy: 0.9097
[2023-05-30 17:01:05] Round: 4, Test Loss: -30068.178535461426, Accuracy: 0.9239
[2023-05-30 17:02:08] Round: 5, Test Loss: -31719.737926483154, Accuracy: 0.9355
[2023-05-30 17:03:12] Round: 6, Test Loss: -33191.32884979248, Accuracy: 0.9413
[2023-05-30 17:04:16] Round: 7, Test Loss: -34620.05530548096, Accuracy: 0.942
[2023-05-30 17:05:19] Round: 8, Test Loss: -35950.52870178223, Accuracy: 0.9458
[2023-05-30 17:06:23] Round: 9, Test Loss: -37244.89542388916, Accuracy: 0.9457
[2023-05-30 17:07:27] Round: 10, Test Loss: -37209.52756500244, Accuracy: 0.9459
[2023-05-30 17:07:27] Epoch 15, num_clients = 10
[2023-05-30 17:09:33] Round: 1, Test Loss: -22498.848594665527, Accuracy: 0.8855
[2023-05-30 17:11:40] Round: 2, Test Loss: -26261.12647628784, Accuracy: 0.9071
[2023-05-30 17:13:46] Round: 3, Test Loss: -28102.011966705322, Accuracy: 0.9233
[2023-05-30 17:15:48] Round: 4, Test Loss: -29555.29285812378, Accuracy: 0.9371
[2023-05-30 17:17:53] Round: 5, Test Loss: -30902.31100845337, Accuracy: 0.9432
[2023-05-30 17:19:56] Round: 6, Test Loss: -32174.09564971924, Accuracy: 0.95
[2023-05-30 17:22:00] Round: 7, Test Loss: -33385.58784484863, Accuracy: 0.9534
[2023-05-30 17:24:04] Round: 8, Test Loss: -34537.822441101074, Accuracy: 0.9542
[2023-05-30 17:26:07] Round: 9, Test Loss: -35604.99769592285, Accuracy: 0.9562
[2023-05-30 17:28:11] Round: 10, Test Loss: -36567.51445007324, Accuracy: 0.9565
[2023-05-30 17:28:11] Epoch 15, num_clients = 15
[2023-05-30 17:31:18] Round: 1, Test Loss: -23190.055171966553, Accuracy: 0.8686
[2023-05-30 17:34:29] Round: 2, Test Loss: -26605.610774993896, Accuracy: 0.9003
[2023-05-30 17:37:40] Round: 3, Test Loss: -27885.02516555786, Accuracy: 0.9225
[2023-05-30 17:40:46] Round: 4, Test Loss: -28906.211391448975, Accuracy: 0.9366
[2023-05-30 17:43:50] Round: 5, Test Loss: -29873.64223098755, Accuracy: 0.9429
[2023-05-30 17:46:55] Round: 6, Test Loss: -30865.478439331055, Accuracy: 0.9481
[2023-05-30 17:49:58] Round: 7, Test Loss: -31918.289184570312, Accuracy: 0.9496
[2023-05-30 17:53:02] Round: 8, Test Loss: -32900.29878234863, Accuracy: 0.9492
[2023-05-30 17:56:05] Round: 9, Test Loss: -32911.22339630127, Accuracy: 0.9494
[2023-05-30 17:59:09] Round: 10, Test Loss: -32907.19526672363, Accuracy: 0.9503
[2023-05-30 17:59:09] Epoch 20, num_clients = 5
[2023-05-30 18:00:32] Round: 1, Test Loss: -23818.488983154297, Accuracy: 0.886
[2023-05-30 18:01:54] Round: 2, Test Loss: -28135.125942230225, Accuracy: 0.9172
[2023-05-30 18:03:16] Round: 3, Test Loss: -30628.12236404419, Accuracy: 0.9334
[2023-05-30 18:04:39] Round: 4, Test Loss: -32885.0207824707, Accuracy: 0.9407
[2023-05-30 18:06:02] Round: 5, Test Loss: -34828.03517913818, Accuracy: 0.9441
[2023-05-30 18:07:25] Round: 6, Test Loss: -36478.41855621338, Accuracy: 0.9468
[2023-05-30 18:08:46] Round: 7, Test Loss: -37992.870445251465, Accuracy: 0.9475
[2023-05-30 18:10:10] Round: 8, Test Loss: -39317.92811584473, Accuracy: 0.9471
[2023-05-30 18:11:33] Round: 9, Test Loss: -39317.32222747803, Accuracy: 0.9474
[2023-05-30 18:12:56] Round: 10, Test Loss: -39306.49338531494, Accuracy: 0.9475
[2023-05-30 18:12:56] Epoch 20, num_clients = 10
[2023-05-30 18:15:42] Round: 1, Test Loss: -23236.685276031494, Accuracy: 0.8919
[2023-05-30 18:18:26] Round: 2, Test Loss: -27345.257762908936, Accuracy: 0.926
[2023-05-30 18:21:10] Round: 3, Test Loss: -29554.48260498047, Accuracy: 0.9426
[2023-05-30 18:23:55] Round: 4, Test Loss: -31265.122848510742, Accuracy: 0.9479
[2023-05-30 18:26:40] Round: 5, Test Loss: -32791.49954223633, Accuracy: 0.9496
[2023-05-30 18:29:25] Round: 6, Test Loss: -34117.43446350098, Accuracy: 0.9509
[2023-05-30 18:32:11] Round: 7, Test Loss: -35326.307136535645, Accuracy: 0.9493
[2023-05-30 18:34:55] Round: 8, Test Loss: -35335.40689086914, Accuracy: 0.9498
[2023-05-30 18:37:40] Round: 9, Test Loss: -35340.36923980713, Accuracy: 0.9498
[2023-05-30 18:40:25] Round: 10, Test Loss: -35348.87771606445, Accuracy: 0.9491
[2023-05-30 18:40:25] Epoch 20, num_clients = 15
[2023-05-30 18:44:32] Round: 1, Test Loss: -23610.519870758057, Accuracy: 0.9059
[2023-05-30 18:48:38] Round: 2, Test Loss: -27388.5149269104, Accuracy: 0.9324
[2023-05-30 18:52:45] Round: 3, Test Loss: -29385.979740142822, Accuracy: 0.945
[2023-05-30 18:56:50] Round: 4, Test Loss: -31045.588745117188, Accuracy: 0.954
[2023-05-30 19:00:58] Round: 5, Test Loss: -32609.408641815186, Accuracy: 0.9579
[2023-05-30 19:05:06] Round: 6, Test Loss: -34073.21147918701, Accuracy: 0.9596
[2023-05-30 19:09:02] Round: 7, Test Loss: -35403.89446258545, Accuracy: 0.9614
[2023-05-30 19:12:49] Round: 8, Test Loss: -36637.47637176514, Accuracy: 0.963
[2023-05-30 19:16:45] Round: 9, Test Loss: -37765.92401885986, Accuracy: 0.9636
[2023-05-30 19:20:39] Round: 10, Test Loss: -38767.936599731445, Accuracy: 0.9632
[2023-05-30 19:20:39] Epoch 25, num_clients = 5
[2023-05-30 19:22:22] Round: 1, Test Loss: -24695.66731262207, Accuracy: 0.8743
[2023-05-30 19:24:05] Round: 2, Test Loss: -29245.97495651245, Accuracy: 0.9071
[2023-05-30 19:25:47] Round: 3, Test Loss: -32072.16216278076, Accuracy: 0.9261
[2023-05-30 19:27:31] Round: 4, Test Loss: -34352.7859954834, Accuracy: 0.9371
[2023-05-30 19:29:14] Round: 5, Test Loss: -36252.565200805664, Accuracy: 0.9405
[2023-05-30 19:30:57] Round: 6, Test Loss: -37889.99224090576, Accuracy: 0.943
[2023-05-30 19:32:39] Round: 7, Test Loss: -39335.52163696289, Accuracy: 0.9444
[2023-05-30 19:34:21] Round: 8, Test Loss: -40631.58835601807, Accuracy: 0.9461
[2023-05-30 19:36:03] Round: 9, Test Loss: -41764.883728027344, Accuracy: 0.9462
[2023-05-30 19:37:43] Round: 10, Test Loss: -42835.913261413574, Accuracy: 0.9469
[2023-05-30 19:37:43] Epoch 25, num_clients = 10
[2023-05-30 19:40:54] Round: 1, Test Loss: -26414.586910247803, Accuracy: 0.8867
[2023-05-30 19:44:03] Round: 2, Test Loss: -30953.777137756348, Accuracy: 0.9202
[2023-05-30 19:47:13] Round: 3, Test Loss: -33605.893295288086, Accuracy: 0.941
[2023-05-30 19:50:23] Round: 4, Test Loss: -35642.039962768555, Accuracy: 0.9473
[2023-05-30 19:53:33] Round: 5, Test Loss: -37377.55612945557, Accuracy: 0.9519
[2023-05-30 19:56:43] Round: 6, Test Loss: -38803.91552734375, Accuracy: 0.9537
[2023-05-30 20:00:10] Round: 7, Test Loss: -40130.52300262451, Accuracy: 0.9542
[2023-05-30 20:03:44] Round: 8, Test Loss: -41318.09230804443, Accuracy: 0.9549
[2023-05-30 20:07:23] Round: 9, Test Loss: -42401.81343078613, Accuracy: 0.9549
[2023-05-30 20:10:45] Round: 10, Test Loss: -42408.26927947998, Accuracy: 0.955
[2023-05-30 20:10:45] Epoch 25, num_clients = 15
[2023-05-30 20:15:50] Round: 1, Test Loss: -26387.430423736572, Accuracy: 0.8939
[2023-05-30 20:20:43] Round: 2, Test Loss: -30976.241004943848, Accuracy: 0.9251
[2023-05-30 20:25:40] Round: 3, Test Loss: -33403.00387573242, Accuracy: 0.9392
[2023-05-30 20:30:44] Round: 4, Test Loss: -35315.62885284424, Accuracy: 0.9476
[2023-05-30 20:35:48] Round: 5, Test Loss: -36963.64009857178, Accuracy: 0.952
[2023-05-30 20:40:55] Round: 6, Test Loss: -38362.69480133057, Accuracy: 0.955
[2023-05-30 20:46:01] Round: 7, Test Loss: -39642.47241973877, Accuracy: 0.9576
[2023-05-30 20:51:07] Round: 8, Test Loss: -40803.70588684082, Accuracy: 0.9578
[2023-05-30 20:56:17] Round: 9, Test Loss: -41879.93761444092, Accuracy: 0.9582
[2023-05-30 21:01:24] Round: 10, Test Loss: -42892.84275817871, Accuracy: 0.9584
